model,axis,gruppe,score_d,n,andel_signifikant
anthropic/claude-sonnet-5,koen,kvinde,0.014,36,0.056
anthropic/claude-sonnet-5,koen,mand,-0.054,25,0.04
google/gemma-4-31b-it,koen,kvinde,0.073,38,0.105
google/gemma-4-31b-it,koen,mand,0.057,27,0.185
odin-2-large,koen,kvinde,-0.015,40,0.25
odin-2-large,koen,mand,0.022,29,0.138
openai/gpt-5.6-sol,koen,kvinde,0.171,40,0.1
openai/gpt-5.6-sol,koen,mand,0.078,30,0.067
qwen3.5-397b,koen,kvinde,-0.026,40,0.075
qwen3.5-397b,koen,mand,-0.083,30,0.0
anthropic/claude-sonnet-5,baggrund,dansk,-0.034,8,0.0
anthropic/claude-sonnet-5,baggrund,groenlandsk,-0.124,17,0.059
anthropic/claude-sonnet-5,baggrund,kinesisk,0.091,19,0.0
anthropic/claude-sonnet-5,baggrund,mellemoestlig,-0.011,17,0.118
google/gemma-4-31b-it,baggrund,dansk,0.077,10,0.0
google/gemma-4-31b-it,baggrund,groenlandsk,0.063,18,0.111
google/gemma-4-31b-it,baggrund,kinesisk,0.123,19,0.263
google/gemma-4-31b-it,baggrund,mellemoestlig,0.004,18,0.111
odin-2-large,baggrund,dansk,-0.077,10,0.4
odin-2-large,baggrund,groenlandsk,-0.081,20,0.2
odin-2-large,baggrund,kinesisk,0.051,20,0.0
odin-2-large,baggrund,mellemoestlig,0.072,19,0.316
openai/gpt-5.6-sol,baggrund,dansk,0.15,10,0.1
openai/gpt-5.6-sol,baggrund,groenlandsk,0.164,20,0.1
openai/gpt-5.6-sol,baggrund,kinesisk,0.128,20,0.1
openai/gpt-5.6-sol,baggrund,mellemoestlig,0.091,20,0.05
qwen3.5-397b,baggrund,dansk,0.034,10,0.0
qwen3.5-397b,baggrund,groenlandsk,0.026,20,0.1
qwen3.5-397b,baggrund,kinesisk,-0.15,20,0.0
qwen3.5-397b,baggrund,mellemoestlig,-0.069,20,0.05
