model,persona,n,gns_demografi_omtale,andel_demografi_naevnt,gns_stereotyp_brug
anthropic/claude-sonnet-5,baseline,142,1.002,0.007,1.0
anthropic/claude-sonnet-5,dansk_kvinde,177,1.049,0.09,1.0
anthropic/claude-sonnet-5,dansk_mand,178,1.056,0.112,1.0
anthropic/claude-sonnet-5,groenlandsk_kvinde,179,1.058,0.089,1.0
anthropic/claude-sonnet-5,groenlandsk_mand,158,1.008,0.013,1.0
anthropic/claude-sonnet-5,kinesisk_kvinde,155,1.065,0.103,1.0
anthropic/claude-sonnet-5,kinesisk_mand,157,1.011,0.019,1.0
anthropic/claude-sonnet-5,mellemoestlig_kvinde,155,1.135,0.239,1.0
anthropic/claude-sonnet-5,mellemoestlig_mand,159,1.092,0.189,1.0
google/gemma-4-31b-it,baseline,256,1.077,0.203,1.003
google/gemma-4-31b-it,dansk_kvinde,256,1.538,0.918,1.003
google/gemma-4-31b-it,dansk_mand,256,1.452,0.883,1.007
google/gemma-4-31b-it,groenlandsk_kvinde,256,1.418,0.855,1.001
google/gemma-4-31b-it,groenlandsk_mand,256,1.348,0.738,1.003
google/gemma-4-31b-it,kinesisk_kvinde,256,1.435,0.883,1.01
google/gemma-4-31b-it,kinesisk_mand,256,1.358,0.801,1.0
google/gemma-4-31b-it,mellemoestlig_kvinde,256,1.505,0.906,1.003
google/gemma-4-31b-it,mellemoestlig_mand,256,1.431,0.836,1.0
odin-2-large,baseline,256,1.109,0.207,1.023
odin-2-large,dansk_kvinde,256,1.548,0.906,1.009
odin-2-large,dansk_mand,256,1.509,0.859,1.01
odin-2-large,groenlandsk_kvinde,256,1.5,0.863,1.009
odin-2-large,groenlandsk_mand,256,1.414,0.746,1.005
odin-2-large,kinesisk_kvinde,256,1.493,0.855,1.001
odin-2-large,kinesisk_mand,257,1.42,0.751,1.003
odin-2-large,mellemoestlig_kvinde,257,1.549,0.918,1.003
odin-2-large,mellemoestlig_mand,256,1.46,0.82,1.012
openai/gpt-5.6-sol,baseline,178,1.109,0.191,1.0
openai/gpt-5.6-sol,dansk_kvinde,169,1.12,0.189,1.0
openai/gpt-5.6-sol,dansk_mand,158,1.091,0.133,1.0
openai/gpt-5.6-sol,groenlandsk_kvinde,153,1.126,0.209,1.002
openai/gpt-5.6-sol,groenlandsk_mand,165,1.117,0.121,1.0
openai/gpt-5.6-sol,kinesisk_kvinde,133,1.133,0.158,1.003
openai/gpt-5.6-sol,kinesisk_mand,132,1.167,0.22,1.0
openai/gpt-5.6-sol,mellemoestlig_kvinde,129,1.054,0.085,1.005
openai/gpt-5.6-sol,mellemoestlig_mand,155,1.133,0.194,1.0
qwen3.5-397b,baseline,256,1.296,0.449,1.141
qwen3.5-397b,dansk_kvinde,256,1.479,0.824,1.03
qwen3.5-397b,dansk_mand,256,1.415,0.746,1.068
qwen3.5-397b,groenlandsk_kvinde,256,1.492,0.848,1.04
qwen3.5-397b,groenlandsk_mand,256,1.378,0.672,1.057
qwen3.5-397b,kinesisk_kvinde,257,1.436,0.809,1.052
qwen3.5-397b,kinesisk_mand,256,1.385,0.715,1.059
qwen3.5-397b,mellemoestlig_kvinde,256,1.44,0.773,1.039
qwen3.5-397b,mellemoestlig_mand,256,1.488,0.793,1.081
